City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
100,Kraksaan,-7.7585,113.3962,77.56,85,56,2.33,ID,2021-08-08 17:06:08
101,Norman Wells,65.282,-126.8329,48.27,69,100,6.76,CA,2021-08-08 17:06:08
102,Zunyi,27.6867,106.9072,74.68,89,100,0.72,CN,2021-08-08 17:06:09
103,Presidencia Roque Saenz Pena,-26.7852,-60.4388,94.3,20,39,14.92,AR,2021-08-08 17:06:09
104,Butaritari,3.0707,172.7902,82.65,65,14,11.7,KI,2021-08-08 17:06:09
105,Nador,35.174,-2.9287,82.65,36,0,9.22,MA,2021-08-08 17:06:10
106,Vestmannaeyjar,63.4427,-20.2734,59.99,72,0,13.8,IS,2021-08-08 17:06:10
107,Zhuhai,22.2769,113.5678,85.78,94,40,12.66,CN,2021-08-08 17:06:10
108,Menongue,-14.6585,17.691,69.51,13,51,4.97,AO,2021-08-08 17:06:11
109,Ponte De Sor,39.2496,-8.0101,81.97,21,0,15.26,PT,2021-08-08 17:06:11
110,Wanganui,-39.9333,175.05,42.75,80,100,11.01,NZ,2021-08-08 17:06:11
111,Sept-Iles,50.2001,-66.3821,67.24,59,7,5.01,CA,2021-08-08 17:05:15
112,Corsicana,32.0954,-96.4689,90.75,63,40,11.01,US,2021-08-08 17:06:12
113,Hualmay,-11.0964,-77.6139,66.47,72,65,10.94,PE,2021-08-08 17:06:12
114,Bantry,51.6833,-9.45,62.08,77,96,9.06,IE,2021-08-08 17:06:13
115,Ribeira Grande,38.5167,-28.7,77.4,69,75,13.8,PT,2021-08-08 17:06:13
116,Punta Alta,-38.8759,-62.0736,53.98,41,100,9.44,AR,2021-08-08 17:06:13
117,Sevilla,37.3824,-5.9761,91.99,25,0,5.01,ES,2021-08-08 17:06:08
118,Kruisfontein,-34.0033,24.7314,56.73,81,89,11.54,ZA,2021-08-08 17:06:14
119,Kayerkan,69.3497,87.7602,57.79,54,0,3.47,RU,2021-08-08 17:06:14
120,East London,-33.0153,27.9116,79.74,14,0,5.75,ZA,2021-08-08 17:06:15
121,Garissa,-0.4536,39.6401,81.27,44,62,26.49,KE,2021-08-08 17:01:26
122,Itoman,26.1247,127.6694,80.98,94,40,13.8,JP,2021-08-08 17:06:15
123,Pishin,30.5803,66.9961,83.82,13,0,3.56,PK,2021-08-08 17:06:15
124,Salalah,17.0151,54.0924,78.89,94,90,4.61,OM,2021-08-08 17:04:54
125,Severo-Kurilsk,50.6789,156.125,52.75,80,38,10.25,RU,2021-08-08 17:06:16
126,Taphan Hin,16.2209,100.4198,82.62,75,100,4.03,TH,2021-08-08 17:06:17
127,Faanui,-16.4833,-151.75,78.85,74,41,13.31,PF,2021-08-08 17:06:17
128,Calbuco,-41.768,-73.1273,49.21,75,30,14.09,CL,2021-08-08 17:06:17
129,Barrow,71.2906,-156.7887,37.42,93,90,9.22,US,2021-08-08 17:03:49
130,Comodoro Rivadavia,-45.8667,-67.5,51.66,32,20,9.22,AR,2021-08-08 17:06:17
131,Hastings,50.8552,0.5729,67.71,75,79,24.2,GB,2021-08-08 17:06:18
132,Kaitangata,-46.2817,169.8464,36.09,90,82,8.19,NZ,2021-08-08 17:06:18
133,Hurghada,27.2574,33.8129,89.02,51,0,5.32,EG,2021-08-08 17:06:19
134,Samarai,-10.6167,150.6667,77.85,79,99,16.84,PG,2021-08-08 17:06:19
135,Tiksi,71.6872,128.8694,45.14,88,9,6.22,RU,2021-08-08 17:04:18
136,Clarence Town,-32.5833,151.7833,59.86,85,94,2.1,AU,2021-08-08 17:06:19
137,Shaygino,57.7675,46.8618,66.87,79,52,6.76,RU,2021-08-08 17:06:20
138,Cidreira,-30.1811,-50.2056,66.72,72,3,8.55,BR,2021-08-08 17:06:20
139,Camocim,-2.9022,-40.8411,90.41,46,4,14.79,BR,2021-08-08 17:06:20
140,Vondrozo,-22.8167,47.2833,58.35,96,0,1.1,MG,2021-08-08 17:06:21
141,Ostrovnoy,68.0531,39.5131,57.31,68,38,11.74,RU,2021-08-08 17:06:21
142,Letterkenny,54.95,-7.7333,57.16,96,100,11.21,IE,2021-08-08 17:06:15
143,Camacha,33.0833,-16.3333,72.82,60,40,12.66,PT,2021-08-08 17:06:21
144,Atuona,-9.8,-139.0333,77.22,81,86,18.41,PF,2021-08-08 17:03:15
145,Jaguey Grande,22.5269,-81.1286,88.45,48,2,5.82,CU,2021-08-08 17:06:22
146,Ucluelet,48.9329,-125.5528,64.09,75,39,3.09,CA,2021-08-08 17:06:22
147,Katsuura,35.1333,140.3,84.31,91,100,18.99,JP,2021-08-08 17:06:22
148,Palembang,-2.9167,104.7458,76.01,88,60,2.84,ID,2021-08-08 17:05:24
149,Norsup,-16.0667,167.3833,75.25,80,100,11.5,VU,2021-08-08 17:06:23
150,Newtownards,54.5924,-5.6909,64.53,69,90,5.01,GB,2021-08-08 17:06:23
151,Kavaratti,10.5669,72.642,80.94,81,100,17.96,IN,2021-08-08 17:06:23
152,Talnakh,69.4865,88.3972,62.47,48,0,3.94,RU,2021-08-08 17:06:23
153,Hilo,19.7297,-155.09,73.13,84,90,4.61,US,2021-08-08 17:05:08
154,Vardo,70.3705,31.1107,71.35,77,0,5.75,NO,2021-08-08 17:06:24
155,Longyearbyen,78.2186,15.6401,44.44,81,20,12.66,SJ,2021-08-08 17:05:32
156,Carnarvon,-24.8667,113.6333,64.47,80,0,6.91,AU,2021-08-08 17:06:24
157,Matara,5.9485,80.5353,76.78,92,72,9.6,LK,2021-08-08 17:06:24
158,Havelock,34.8791,-76.9013,86.05,72,75,6.91,US,2021-08-08 17:06:25
159,Champerico,14.3,-91.9167,92.77,76,95,3.98,GT,2021-08-08 17:06:24
160,Kotido,2.9806,34.1331,73.13,58,80,7.87,UG,2021-08-08 17:06:25
