City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
527,Sorong,ID,82.18,overcast clouds,-0.8833,131.25,waigo splash hotel
528,Espana,PH,83.34,overcast clouds,12.3841,122.499,The Boathouse | Sibuyan Island
533,Yatou,CN,81.61,light rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
534,Komsomolskiy,UZ,75.92,clear sky,40.4272,71.7189,Ikathouse
536,Patuli,IN,82.98,scattered clouds,23.55,88.25,Abhirup garai
537,La Asuncion,VE,82.13,clear sky,11.0333,-63.8628,Colinas de Matasiete
538,Presidencia Roque Saenz Pena,AR,81.54,overcast clouds,-26.7852,-60.4388,Hotel Gualok
539,Rincon,US,82.31,broken clouds,32.296,-81.2354,Days Inn Rincon
540,Carepa,CO,75.13,overcast clouds,7.7585,-76.6525,HOTEL EL EDÉN
543,Santarem,BR,77.13,clear sky,-2.4431,-54.7083,Ecotur Lodge
544,Martapura,ID,77.09,few clouds,-3.4167,114.85,Montana Hotel Syariah
546,Fabriano,IT,77.29,scattered clouds,43.3406,12.9073,Janus Hotel
548,Nantucket,US,76.08,clear sky,41.2835,-70.0995,Jared Coffin House
549,Jatiroto,ID,78.04,clear sky,-7.8833,111.1167,Mushola Al Huda
550,Bandarbeyla,SO,75.7,broken clouds,9.4942,50.8122,JABIR HOTEL
554,Gaffney,US,84.85,scattered clouds,35.0718,-81.6498,Quality Inn Gaffney I-85
555,Holland,US,84.25,clear sky,42.7875,-86.1089,Hampton Inn Holland
557,Beipiao,CN,75.29,overcast clouds,41.7919,120.7792,Beipiao Hotel
559,Hami,CN,83.64,overcast clouds,42.8,93.45,Laoyutang Resort
560,Muncar,ID,79.41,broken clouds,-8.4333,114.3333,Zaky Homestay
570,Saryozek,KZ,76.3,overcast clouds,44.3583,77.9753,Gostinitsa
571,Makarska,HR,82.54,clear sky,43.2969,17.0178,Hotel Park Makarska
572,Warangal,IN,80.96,overcast clouds,18.0,79.5833,Supreme Hotels
573,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
577,Marinette,US,75.29,mist,45.1,-87.6307,AmericInn by Wyndham Menominee
578,Malkangiri,IN,77.88,overcast clouds,18.35,81.9,Girls' Hostel
580,Kijang,KR,78.53,scattered clouds,35.2442,129.2139,Samyang Beach Villa
582,Kalamnuri,IN,80.08,overcast clouds,19.6667,77.3333,खंडोबा राव शेषराव गडदे
583,Portel,BR,77.34,clear sky,-1.9356,-50.8211,Kitnet do Marcos
585,Itupiranga,BR,77.65,clear sky,-5.1347,-49.3267,Hotel Panorama
586,Kalianget,ID,82.44,few clouds,-7.05,113.9333,Pesanggrahan Garam
588,Kismayo,SO,75.06,clear sky,-0.3582,42.5454,Agan-Hotel
590,Saint Simons,US,84.02,thunderstorm,31.1352,-81.3901,"Holiday Inn Express Saint Simons Island, an IHG Hotel"
595,Buala,SB,83.03,light rain,-8.145,159.5921,Maringe Lagoon Lodge
601,Guerrero Negro,MX,76.37,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
608,Alappuzha,IN,78.15,overcast clouds,9.49,76.3264,Panoramic Sea Resort
610,Filadelfia,US,79.12,few clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
612,Auki,SB,84.58,scattered clouds,-8.7676,160.7034,Auki Motel
619,Danville,US,82.83,clear sky,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
622,Phan Thiet,VN,84.58,scattered clouds,10.9333,108.1,Hotel Saigon-PT
628,Jacareacanga,BR,83.66,broken clouds,-6.2222,-57.7528,Casa do Ian😎
631,Catuday,PH,81.81,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
632,Kassala,SD,79.02,broken clouds,15.451,36.4,Amassi Hotel Gash
633,Sylvania,US,84.87,clear sky,41.7189,-83.713,Wingate by Wyndham Sylvania/Toledo
634,Serafimovich,RU,83.64,light rain,49.5786,42.736,Donskiye Prostory
635,Jiuquan,CN,78.21,clear sky,39.7432,98.5174,Jiuquan Hotel
641,Batagay,RU,80.17,clear sky,67.6333,134.6333,Gostinitsa Ki'ileekh
642,Ardesen,TR,78.76,light rain,41.1911,40.9875,Green Suada Hotel
644,Shingu,JP,82.9,overcast clouds,33.7333,135.9833,Shingu UI Hotel
646,Tarauaca,BR,79.07,few clouds,-8.1614,-70.7656,Flat Temporada
648,Ciudad Guayana,VE,80.53,overcast clouds,8.3533,-62.6528,Hotel Las Americas
661,Temozon,MX,83.57,few clouds,20.8,-88.2167,Hotel temozon
666,Tomatlan,MX,78.8,overcast clouds,19.9333,-105.25,El Salvial
