City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
167,Fulton,US,33.7668,-84.4499,86.38,64,1,0.0,clear sky
168,Klaksvik,FO,62.2266,-6.589,54.52,87,100,8.95,overcast clouds
169,Ribeira Grande,PT,38.5167,-28.7,81.0,61,40,12.66,scattered clouds
170,Tiksi,RU,71.6872,128.8694,45.46,85,82,1.66,broken clouds
171,Barillas,GT,15.8036,-91.3158,66.54,71,95,3.85,overcast clouds
172,Butaritari,KI,3.0707,172.7902,82.78,70,57,13.4,broken clouds
173,Jawhar,SO,2.7809,45.5005,78.8,60,75,19.06,broken clouds
174,Thinadhoo,MV,0.5333,72.9333,82.53,71,100,5.57,overcast clouds
175,Krasnouralsk,RU,58.3638,60.0407,60.08,74,100,6.85,overcast clouds
176,Nanortalik,GL,60.1432,-45.2371,45.91,73,0,2.62,clear sky
177,Panama City,PA,8.9936,-79.5197,78.17,97,40,2.3,thunderstorm
178,Nabire,ID,-3.3667,135.4833,75.13,93,100,3.87,light rain
179,Skjervoy,NO,70.0311,20.9714,66.2,79,100,13.69,overcast clouds
180,San Julian,MX,21.0167,-102.1667,62.06,85,73,7.14,broken clouds
181,Mbandaka,CD,0.0487,18.2603,83.14,52,76,7.23,broken clouds
182,Anadyr,RU,64.75,177.4833,39.7,87,0,4.47,clear sky
183,Adrar,MR,20.5022,-10.0711,103.05,11,47,16.44,scattered clouds
184,Pangody,RU,65.85,74.4859,57.54,63,100,14.97,overcast clouds
185,Penzance,GB,50.1186,-5.5371,65.41,94,75,12.66,broken clouds
186,Kyren,RU,51.6828,102.1408,59.05,81,12,1.23,few clouds
187,Marsa Matruh,EG,31.3525,27.2453,84.0,55,0,18.32,clear sky
188,Magadan,RU,59.5667,150.8,52.66,80,9,6.4,clear sky
189,Acarau,BR,-2.8856,-40.12,88.75,52,4,19.01,clear sky
190,Ambon,ID,-3.6954,128.1814,75.34,94,75,8.05,light rain
191,Buala,SB,-8.145,159.5921,78.67,79,92,3.78,overcast clouds
192,Innisfail,AU,-17.5333,146.0333,67.42,90,80,5.46,broken clouds
193,Saint-Pierre,RE,-21.3393,55.4781,73.04,83,0,2.3,clear sky
194,Krasnoarmeysk,RU,51.0239,45.6969,86.16,28,57,9.95,broken clouds
195,Te Anau,NZ,-45.4167,167.7167,38.07,92,100,0.72,overcast clouds
196,Mangrol,IN,21.1167,70.1167,81.63,78,100,8.55,overcast clouds
197,Boden,SE,65.8252,21.6886,62.6,87,100,0.92,overcast clouds
198,Ewa Beach,US,21.3156,-158.0072,78.75,71,75,3.44,broken clouds
199,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,68,39,8.3,scattered clouds
200,Zhigansk,RU,66.7697,123.3711,61.7,40,4,9.57,clear sky
201,Wuwei,CN,37.9281,102.6414,75.47,36,100,4.74,overcast clouds
202,Kodiak,US,57.79,-152.4072,49.51,85,100,3.94,overcast clouds
203,Prince Rupert,CA,54.3161,-130.3201,56.89,95,90,10.36,light rain
204,Port Hardy,CA,50.6996,-127.4199,55.58,94,90,2.3,overcast clouds
205,Banda Aceh,ID,5.5577,95.3222,80.33,82,100,9.73,light rain
206,Torbay,CA,47.6666,-52.7314,64.27,68,75,10.36,broken clouds
207,Nekhayevskiy,RU,50.4106,41.7561,88.38,32,100,14.32,light rain
208,Khani,GE,41.9563,42.9566,76.57,94,100,2.33,overcast clouds
209,Redmond,US,47.674,-122.1215,60.33,87,1,1.01,clear sky
210,Winslow,US,35.0242,-110.6974,73.96,58,1,0.0,clear sky
211,Sao Felix Do Xingu,BR,-6.6447,-51.995,94.53,24,11,5.3,few clouds
212,Lensk,RU,60.7253,114.9278,55.24,99,100,3.83,overcast clouds
213,Hamilton,US,39.1834,-84.5333,81.12,79,1,3.0,clear sky
214,Paragould,US,36.0584,-90.4973,84.02,81,0,13.18,clear sky
215,Manali,IN,13.1667,80.2667,87.89,73,99,11.99,overcast clouds
216,Dashitou,CN,43.3067,128.5114,62.02,94,60,5.32,broken clouds
217,Nome,US,64.5011,-165.4064,50.07,82,75,9.22,broken clouds
218,Kieta,PG,-6.2167,155.6333,77.83,81,2,4.52,clear sky
219,Rawson,AR,-43.3002,-65.1023,50.76,41,0,15.23,clear sky
220,Hastings,GB,50.8552,0.5729,69.71,70,72,20.94,broken clouds
221,Tingo Maria,PE,-9.2895,-76.0088,75.51,64,20,4.61,few clouds
222,Guilin,CN,25.2819,110.2864,84.31,82,100,0.63,moderate rain
